# frame +z -z 
10 0 0
20 0 0
30 0 0
40 0 0
50 0 0
60 0 0
70 0 0
80 1 0
90 2 0
100 2 0
110 2 0
120 3 0
130 3 1
140 3 1
150 3 1
160 3 1
170 3 2
180 3 2
190 4 3
200 4 3
210 6 3
220 6 3
230 6 4
240 6 4
250 6 5
260 6 5
270 6 5
280 6 5
290 6 5
300 6 5
310 6 5
320 6 5
330 6 5
340 6 5
350 6 5
360 6 5
370 6 7
380 6 7
390 6 7
400 6 7
410 6 7
420 6 7
430 6 7
440 7 7
450 7 7
460 7 8
470 8 8
480 8 8
490 8 8
500 8 8
510 8 8
520 9 8
530 9 8
540 9 8
550 9 8
560 9 8
570 9 8
580 9 8
590 9 8
600 9 8
610 10 8
620 10 8
630 10 8
640 10 8
650 10 8
660 10 8
670 10 9
680 10 9
690 10 9
700 10 9
710 10 9
720 11 9
730 12 10
740 13 10
750 13 10
760 14 10
770 14 10
780 14 10
790 15 12
800 16 12
810 16 12
820 16 14
830 16 15
840 16 15
850 16 15
860 17 15
870 17 15
880 17 15
890 17 15
900 17 15
910 17 16
920 17 16
930 17 17
940 17 18
950 17 19
960 17 19
970 18 19
980 18 21
990 18 22
1000 18 24
