# step Epot T p V 
0 -4685.35 0.0 6516.254 23823.124 
5000 -5202.5779 299.6495 -206.9536 22897.3152 
10000 -5137.2608 300.2414 -626.0503 23154.3804 
15000 -5127.5832 303.5979 -448.5755 23479.4828 
20000 -5195.3384 308.9378 -156.4108 22645.9048 
25000 -5260.7464 302.347 -629.3098 22513.9812 
30000 -5182.7896 296.0442 -181.1918 23049.4808 
35000 -5190.1382 289.0701 -652.4642 22940.7743 
40000 -5195.4595 290.7058 -423.3961 22750.8283 
45000 -5206.7074 299.2933 -474.8297 22824.8062 
50000 -5224.0679 297.7595 -412.9546 22697.9269 
55000 -5222.4956 301.9238 828.553 22390.4066 
60000 -5200.0971 297.9902 -290.2525 23026.7422 
65000 -5192.6464 304.8612 -662.7222 22840.6768 
70000 -5208.1061 305.4328 -353.4865 22676.4828 
75000 -5165.2684 286.9147 232.315 22725.9888 
80000 -5187.8427 296.0023 453.5788 22616.9008 
85000 -5165.6093 293.0722 -541.727 22626.8598 
90000 -5201.85 315.9621 -376.1657 22647.7791 
95000 -5250.0557 299.2001 -518.9041 22298.9822 
100000 -5257.4669 303.5215 -752.4083 22580.1354 
105000 -5143.7837 288.9759 -526.301 22834.798 
110000 -5149.6784 292.4943 -213.8659 22744.1049 
115000 -5132.3354 298.1513 271.9961 22517.731 
120000 -5254.8044 298.9338 -241.6161 22644.8615 
125000 -5193.5308 292.6247 -127.7833 22769.3033 
130000 -5161.2788 304.8474 314.4363 22735.7023 
135000 -5191.324 298.9884 -313.5037 22574.8559 
140000 -5211.9328 287.9329 -215.6566 22451.7191 
145000 -5231.3581 308.0911 -776.9096 22683.8536 
150000 -5243.3684 307.609 -768.9532 22596.2931 
155000 -5281.1999 303.3458 -95.5487 22515.0471 
160000 -5259.1264 305.0496 211.2609 22110.4536 
165000 -5258.8096 300.3178 103.6502 22538.2051 
170000 -5214.3029 298.8561 -444.4714 22605.2189 
175000 -5193.3547 285.7351 -634.1993 22903.2089 
180000 -5192.4021 302.4652 91.1018 22619.3856 
185000 -5207.3324 313.1334 -819.1238 23190.2021 
190000 -5218.8128 288.9545 -888.8436 22956.7666 
195000 -5183.208 288.6079 -390.6801 22701.4793 
200000 -5221.1582 294.5549 -52.0766 22561.7856 
205000 -5250.5286 284.7313 -475.9203 22864.7932 
210000 -5184.0484 300.6875 -1028.9415 22753.4405 
215000 -5221.7559 311.9277 10.8787 22772.7667 
220000 -5183.3725 289.3809 -561.6757 22819.4487 
225000 -5194.3875 300.5031 -248.9323 23054.2248 
230000 -5227.2208 289.3926 310.454 22484.4349 
235000 -5216.2749 304.682 63.2208 22828.9621 
240000 -5221.4365 301.9165 93.189 22157.5286 
245000 -5309.2967 293.6271 -309.1756 22433.2098 
250000 -5119.8405 289.2686 -1450.0149 22876.045 
255000 -5165.3985 293.4136 230.8778 22821.9252 
260000 -5271.1458 293.2518 80.9321 22397.5463 
265000 -5153.0131 309.8283 -761.5091 22973.993 
270000 -5222.3418 304.2622 -269.9838 22641.6186 
275000 -5248.7791 286.3556 -562.7293 22499.8856 
280000 -5169.1786 286.6614 -438.9317 22829.4968 
285000 -5231.5365 310.5381 -641.5192 22657.2777 
290000 -5260.8232 294.6834 -590.6013 22329.2661 
295000 -5226.033 287.3512 -451.7478 22765.631 
300000 -5237.7586 285.8096 139.1814 22584.172 
305000 -5192.9227 302.0937 -84.0013 22954.4282 
310000 -5225.7046 310.5957 -193.7928 22693.987 
315000 -5236.4267 311.0463 298.0106 22506.7071 
320000 -5198.6915 289.9083 9.4882 22659.9786 
325000 -5180.0152 289.8051 -636.047 22829.1358 
330000 -5176.1562 293.3438 -235.4624 22578.364 
335000 -5186.3488 300.4461 -207.2934 22691.0293 
340000 -5237.0905 285.2927 -105.7345 22613.0076 
345000 -5184.7751 298.2207 -231.7579 22805.3212 
350000 -5249.1177 291.4812 -363.8945 22647.5087 
355000 -5245.85 294.4261 200.9018 22569.8167 
360000 -5274.5057 295.3305 182.7781 22431.9811 
365000 -5230.3923 290.5948 -493.4992 22716.3136 
370000 -5220.8943 310.4207 -234.0932 22865.6936 
375000 -5219.4543 315.5922 447.4331 22797.9128 
380000 -5193.1819 293.5025 -142.2367 22726.4711 
385000 -5171.5871 291.8571 371.4484 22614.098 
390000 -5181.3299 290.332 -764.8289 23092.0919 
395000 -5224.5376 289.3111 -200.8706 22607.3626 
400000 -5208.6146 294.2755 865.8192 22656.7854 
405000 -5230.1351 287.1657 -463.5803 22731.1336 
410000 -5208.9671 296.9871 -620.5906 23035.7025 
415000 -5193.8526 297.339 -5.7666 22643.9962 
420000 -5225.4514 285.9171 -764.6965 22925.766 
425000 -5156.6352 318.8055 -381.718 22859.9862 
430000 -5143.0927 299.3362 -518.7648 22695.4746 
435000 -5226.063 319.2284 -403.643 22572.5793 
440000 -5207.3251 301.5439 -570.303 22593.5175 
445000 -5212.0851 301.4579 276.412 22647.0359 
450000 -5238.7568 297.4291 -111.8192 22442.2163 
455000 -5175.4693 295.083 501.4297 22779.8587 
460000 -5184.2182 284.0659 -816.1929 22889.8689 
465000 -5206.0571 310.9748 130.1814 22641.5755 
470000 -5251.2086 293.651 -189.7487 22614.8935 
475000 -5173.5594 302.8605 -29.8412 23005.7821 
480000 -5139.7799 298.7391 -854.0787 22982.8599 
485000 -5195.5489 294.136 355.1734 22773.669 
490000 -5203.666 296.2154 -297.3606 22502.8503 
495000 -5209.2572 300.6756 -368.1214 22809.9833 
500000 -5240.7694 313.7759 -211.0324 22788.8699 
