ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:       0         0.0000         0.0000         0.0000         0.0000          -5460.6262       775.2762         0.0000         0.0000         0.0000          -4685.3500         0.0000     -4685.3500     -4684.5920         0.0000           6516.2540      6528.3316     23823.1240      6516.2540      6528.3316
ENERGY:    5000         0.0000         0.0000         0.0000         0.0000          -5636.3060       433.7282         0.0000         0.0000       943.2098          -4259.3680       299.6495     -5202.5779     -4258.1953       278.7723           -206.9536      -203.9259     22897.3152      -136.1701      -136.3619
ENERGY:   10000         0.0000         0.0000         0.0000         0.0000          -5526.0701       388.8093         0.0000         0.0000       945.0731          -4192.1876       300.2414     -5137.2608     -4189.3920       300.3767           -626.0503      -607.1909     23154.3804      -150.2501      -150.2175
ENERGY:   15000         0.0000         0.0000         0.0000         0.0000          -5545.0147       417.4315         0.0000         0.0000       955.6384          -4171.9448       303.5979     -5127.5832     -4169.4850       304.4873           -448.5755      -431.1418     23479.4828      -211.6411      -211.6171
ENERGY:   20000         0.0000         0.0000         0.0000         0.0000          -5579.2535       383.9150         0.0000         0.0000       972.4466          -4222.8918       308.9378     -5195.3384     -4219.7049       302.5951           -156.4108      -130.3935     22645.9048      -225.6839      -225.6036
ENERGY:   25000         0.0000         0.0000         0.0000         0.0000          -5638.6851       377.9386         0.0000         0.0000       951.7010          -4309.0455       302.3470     -5260.7464     -4306.9157       298.6408           -629.3098      -611.7357     22513.9812      -153.9532      -153.8607
ENERGY:   30000         0.0000         0.0000         0.0000         0.0000          -5585.3564       402.5667         0.0000         0.0000       931.8613          -4250.9283       296.0442     -5182.7896     -4249.4903       301.3705           -181.1918      -156.7022     23049.4808      -182.9701      -182.9645
ENERGY:   35000         0.0000         0.0000         0.0000         0.0000          -5536.7841       346.6459         0.0000         0.0000       909.9091          -4280.2290       289.0701     -5190.1382     -4277.2384       298.4443           -652.4642      -628.2254     22940.7743      -152.9379      -152.8170
ENERGY:   40000         0.0000         0.0000         0.0000         0.0000          -5596.5393       401.0799         0.0000         0.0000       915.0578          -4280.4017       290.7058     -5195.4595     -4278.1482       294.2942           -423.3961      -399.8099     22750.8283      -241.1645      -241.1651
ENERGY:   45000         0.0000         0.0000         0.0000         0.0000          -5594.9542       388.2468         0.0000         0.0000       942.0885          -4264.6188       299.2933     -5206.7074     -4262.4381       300.1189           -474.8297      -450.8621     22824.8062      -278.3967      -278.4641
ENERGY:   50000         0.0000         0.0000         0.0000         0.0000          -5624.8874       400.8195         0.0000         0.0000       937.2608          -4286.8071       297.7595     -5224.0679     -4285.2254       301.3286           -412.9546      -395.3193     22697.9269      -242.3585      -242.3655
ENERGY:   55000         0.0000         0.0000         0.0000         0.0000          -5685.5880       463.0924         0.0000         0.0000       950.3687          -4272.1270       301.9238     -5222.4956     -4269.2406       300.3276            828.5530       846.8940     22390.4066      -177.7120      -177.4946
ENERGY:   60000         0.0000         0.0000         0.0000         0.0000          -5599.3875       399.2904         0.0000         0.0000       937.9867          -4262.1104       297.9902     -5200.0971     -4262.6430       295.4250           -290.2525      -248.9768     23026.7422      -220.9890      -220.9301
ENERGY:   65000         0.0000         0.0000         0.0000         0.0000          -5547.7344       355.0880         0.0000         0.0000       959.6149          -4233.0315       304.8612     -5192.6464     -4230.4580       299.3272           -662.7222      -644.8673     22840.6768      -257.9415      -257.9891
ENERGY:   70000         0.0000         0.0000         0.0000         0.0000          -5581.4208       373.3147         0.0000         0.0000       961.4140          -4246.6921       305.4328     -5208.1061     -4245.2406       299.9790           -353.4865      -329.4949     22676.4828      -283.7840      -283.7092
ENERGY:   75000         0.0000         0.0000         0.0000         0.0000          -5603.1436       437.8752         0.0000         0.0000       903.1243          -4262.1441       286.9147     -5165.2684     -4259.7682       299.9985            232.3150       260.0871     22725.9888      -259.6439      -259.7841
ENERGY:   80000         0.0000         0.0000         0.0000         0.0000          -5619.4425       431.5998         0.0000         0.0000       931.7295          -4256.1131       296.0023     -5187.8427     -4253.1974       303.3647            453.5788       474.5758     22616.9008      -185.0976      -184.9924
ENERGY:   85000         0.0000         0.0000         0.0000         0.0000          -5508.3091       342.6997         0.0000         0.0000       922.5064          -4243.1029       293.0722     -5165.6093     -4241.4486       300.4252           -541.7270      -535.3385     22626.8598      -157.2725      -157.3256
ENERGY:   90000         0.0000         0.0000         0.0000         0.0000          -5566.5299       364.6799         0.0000         0.0000       994.5573          -4207.2927       315.9621     -5201.8500     -4205.6443       297.6372           -376.1657      -349.8447     22647.7791      -131.9276      -131.9135
ENERGY:   95000         0.0000         0.0000         0.0000         0.0000          -5623.4938       373.4381         0.0000         0.0000       941.7954          -4308.2603       299.2001     -5250.0557     -4306.0476       298.3670           -518.9041      -508.2762     22298.9822      -258.9551      -258.7537
ENERGY:  100000         0.0000         0.0000         0.0000         0.0000          -5642.5080       385.0411         0.0000         0.0000       955.3977          -4302.0692       303.5215     -5257.4669     -4300.3057       295.3266           -752.4083      -720.1876     22580.1354      -159.0033      -159.0294
ENERGY:  105000         0.0000         0.0000         0.0000         0.0000          -5500.1021       356.3184         0.0000         0.0000       909.6124          -4234.1713       288.9759     -5143.7837     -4231.9603       295.8004           -526.3010      -496.7772     22834.7980      -267.2186      -267.3594
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5518.1798       368.5014         0.0000         0.0000       920.6873          -4228.9910       292.4943     -5149.6784     -4228.1874       296.6144           -213.8659      -189.4485     22744.1049      -243.9402      -243.7902
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5547.6022       415.2668         0.0000         0.0000       938.4940          -4193.8414       298.1513     -5132.3354     -4191.0348       303.4283            271.9961       285.5082     22517.7310      -214.3618      -214.5509
